Date,Author,Content,Keywords,Link,Likes,Shares
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,"We're pleased to welcome Mr. Thami Drissi, Sales Director for Africa at GATEWATCHER, to the AFRICAN CYBERSECURITY SUMMIT 2025!",Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-gatewatcher-activity-7288583712735166464-_lOx,51,1
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,We're honored to welcome Dr. Redda Ben Geloune to the AFRICAN CYBERSECURITY SUMMIT 2025! As the visionary founder of AITEK Group and an accomplished technology ...,Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-techleadership-activity-7285289007062630401-fY4m,57,3
Date inconnue,AFRICAN CYBERSECURITY SUMMIT,Discover how #TrendMicro is driving cybersecurity resilience across Africa and empowering local organizations to defend against modern cyber ...,Cyber Africa Forum,https://www.linkedin.com/posts/african-cybersecurity-summit-morocco_africancybersecuritysummit2025-trendmicro-activity-7287062913171816448--LDf,25,0
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,L'ANSSI joue un rôle clé dans la cybersécurité de l'IA en identifiant les risques et en renforçant la confiance dans ces systèmes. J'aime.,Risques cybernétiques et Intelligence Artificielle (IA),https://fr.linkedin.com/posts/anssi-fr_sommet-pour-laction-sur-lintelligence-artificielle-activity-7290405705348464641-QjHV,21,5
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,L'ANSSI - Agence nationale de la sécurité des systèmes d'information et le Federal Office for Information Security (BSI) copublient un ...,ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_num%C3%A9rique-activity-7143223551746076672-ti2E,56,12
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"Les 14 & 15 mars derniers, l'ANSSI participait au #BreizhCTF. L'occasion pour nos agents de présenter aux visiteurs le Capture The Flag ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_breizhctf-fcsc-activity-7307358724157853697-08Lg,78,15
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"... ANSSI - Agence nationale de la sécurité des systèmes d&#39 · ANSSI - Agence nationale de la sécurité des systèmes d'information. 344,617 ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://www.linkedin.com/posts/anssi-fr_secnumcloud-activity-7075093338508419072-t2VV?trk=public_profile_like_view,19,6
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,"La semaine dernière, le Centre de coordination cyber français (NCC-FR), incarné par l'ANSSI, a participé à l'évènement de réseautage #SMI2G ...",ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_smi2g-horizoneurope-horizoneu-activity-7202202941565415424-XQLE,23,9
Date inconnue,ANSSI - Agence nationale de la sécurité des systèmes d'information,#PanoramaCybermenace | ⚱️ L'ANSSI a de nouveau observé en 2024 que des attaquants aux compétences variables étaient en mesure d'exploiter les ...,ANSSI - Agence nationale de la sécurité des systèmes d'information,https://fr.linkedin.com/posts/anssi-fr_panoramacybermenace-s%C3%A9curit%C3%A9-si-activity-7308048790404419584-9joX,45,11
Date inconnue,Amine IDRISS A. KARAMA,Les plus grandes craintes liées à l'espionnage informatique en Afrique sont à rattacher à la Chine. Cette menace revêt une grande importance en ...,cybersécurité Afrique,https://fr.linkedin.com/posts/leadershipdevelopment1_cybers%C3%A9curit%C3%A9-afrique-papss-activity-7239439773545693184-4Al2,66,14
