Date,Author,Content,Keywords,Link
Date inconnue,Bancal Damien,Post de Bancal Damien · Top 100 des acteurs influents de la cybersécurité en Afrique 2024 - Ciberobs · Plus de posts pertinents · Baromètre de ...,cybersécurité Afrique,https://fr.linkedin.com/posts/bancal-damien_top-100-des-acteurs-influents-de-la-cybers%C3%A9curit%C3%A9-activity-7259593515167363072-FuR6
Date inconnue,Bertrand TRASTOUR,L'association Ciberobs – Make Africa Safe a dévoilé son classement 2024 des 100 acteurs les plus influents de la cybersécurité en Afrique. Cette ...,cybersécurité Afrique,https://fr.linkedin.com/posts/bertrandtrastour_top-100-des-acteurs-influents-de-la-cybers%C3%A9curit%C3%A9-activity-7260909994517184512-Kayp
Date inconnue,Amine IDRISS A. KARAMA,Les plus grandes craintes liées à l'espionnage informatique en Afrique sont à rattacher à la Chine. Cette menace revêt une grande importance en ...,cybersécurité Afrique,https://fr.linkedin.com/posts/leadershipdevelopment1_cybers%C3%A9curit%C3%A9-afrique-papss-activity-7239439773545693184-4Al2
Date inconnue,Clement Domingo,"Même au Congo, pour un panel devant une salle bondée, on parle de l'ANSSI française ! Je ne sais pas si on prend conscience à quel point ...",cybersécurité Afrique,https://fr.linkedin.com/posts/clementdomingo_cybers%C3%A9curit%C3%A9-afrique-activity-7267138810516328449-LuLt
Date inconnue,Didier SIMBA,Les talents africains en cybersécurité ! Je tiens à saluer la vision stratégique et innovante de Cyprien EKRA dans la protection du ...,cybersécurité Afrique,https://fr.linkedin.com/posts/didier-simba_cybers%C3%A9curit%C3%A9-afrique-cyberresilience-activity-7289619293569224705-rU_T
Date inconnue,Bancal Damien,Renforcer la résilience cyber en Afrique : Comment HarfangLab aborde les défis de cybersécurité sur le continent ... cybercriminalité en Afrique ...,cybercriminalité Afrique,https://fr.linkedin.com/posts/bancal-damien_top-100-des-acteurs-influents-de-la-cybers%C3%A9curit%C3%A9-activity-7259593515167363072-FuR6
Date inconnue,ICC,Découvrez le Rapport d'évaluation des cybermenaces en Afrique publié par INTERPOL. Ce document analyse la situation de la cybercriminalité ...,cybercriminalité Afrique,https://fr.linkedin.com/posts/infracybercloud_rapport-d%C3%A9valuation-des-cybermenaces-en-activity-7288197157822636033-UIcw
Date inconnue,Clement Domingo,"... cybercriminalité en Afrique. Le nombre de cyberattaques continue d'augmenter, avec une croissance notable de 23% des attaques ...",cybercriminalité Afrique,https://fr.linkedin.com/posts/clementdomingo_cybers%C3%A9curit%C3%A9-afrique-activity-7267138810516328449-LuLt
Date inconnue,Orange Cyberdefense,"En conséquence, la cybercriminalité est en augmentation dans toute l'Afrique et est l'une des menaces émergentes les plus rapides sur le ...",cybercriminalité Afrique,https://fr.linkedin.com/posts/orange-cyberdefense_afrique-cybers%C3%A9curit%C3%A9-cyberattaques-activity-7272883080569176064-DKiP
Date inconnue,Hela Slim,"Une urgence pour l'avenir La cybercriminalité en Afrique n'est pas une menace future, c'est une réalité d'aujourd'hui. Entre opportunités ...",cybercriminalité Afrique,https://fr.linkedin.com/posts/hela-slim_cybers%C3%A9curit%C3%A9-lafrique-en-qu%C3%AAte-de-solutions-activity-7191315485731270656-PT7g
Date inconnue,Anne Dore,"L'IA et la cybersécurité : du concret avec le CLUSIF ! ✨ L'intelligence artificielle transforme nos métiers, nos organisations… et nos ...",IA et cybercriminalité,https://fr.linkedin.com/posts/anne-dore_lia-et-la-cybers%C3%A9curit%C3%A9-du-concret-activity-7293519732165529600-swMt
Date inconnue,Nicolas Arpagian,"Cet article explore comment l'intelligence artificielle transforme ces fraudes en pièges hyperréalistes, à travers des cas réels, des astuces ...",IA et cybercriminalité,https://fr.linkedin.com/posts/nicolas-arpagian_intelligence-artificielle-et-cybers%C3%A9curit%C3%A9-activity-7250123011343663105-_EDA
Date inconnue,Marion BONNET,L'intelligence artificielle (IA) aide les pirates informatiques à mener des cyberattaques sophistiquées. C'est ce qui ressort de l'étude de ...,IA et cybercriminalité,https://fr.linkedin.com/posts/marion-bonnet-1811a745_lia-au-service-de-la-cybers%C3%A9curit%C3%A9-activity-7252005810422104066-9TKF
Date inconnue,Michel Grisay,"Pas d'IA sans cybersécurité. Quand on parle des risques de l'IA, on évoque souvent les questions éthiques, celles liées à l'avenir du travail ou ...",IA et cybercriminalité,https://www.linkedin.com/posts/michel-grisay-64827b1_ia-et-cybercriminalit%C3%A9-un-cocktail-explosif-activity-7249309722749583360-zoir
Date inconnue,SQUAD Conseil et Expertises,"Une #IA formée sur des données sensibles peut accidentellement restituer des informations confidentielles, augmentant les risques de data ...",IA et cybercriminalité,https://fr.linkedin.com/posts/squad-conseil_cybers%C3%A9curit%C3%A9-donn%C3%A9es-ia-activity-7288103197020237825-W9NA
